Field,Question,Ideal_Answer,Keywords
Data Science,Tell me about a data science project you worked on.,I explain the problem the data source the cleaning and preprocessing the model I selected the evaluation metric and the result or lesson from the project.,problem|data|cleaning|model|evaluation|result
Data Science,How do you handle missing values?,I first inspect how much data is missing and why. Depending on the column I may remove rows or use imputation such as the mean median or mode. I then validate that the choice does not create bias.,inspect|remove|imputation|mean|median|mode|validate
Data Science,What is the difference between classification and regression?,Classification predicts a category such as churn or no churn while regression predicts a continuous number such as rent or salary.,category|continuous|classification|regression|predict
Human Resources,Tell me about yourself.,I briefly introduce my education and relevant HR experience then highlight strengths such as organisation communication and confidentiality and explain why I am interested in this role.,education|experience|strengths|communication|confidentiality|role
Human Resources,How would you handle an employee conflict?,I would listen to both employees separately remain neutral document the facts follow company policy and help them agree on a fair solution while keeping the matter confidential.,listen|neutral|document|policy|solution|confidential
Human Resources,Why do you want to work in HR?,I enjoy supporting people and helping an organisation improve. HR combines communication organisation problem solving employee development and fair policies.,people|organisation|communication|problem solving|development|policies
Software Development,Tell me about a technical problem you solved.,I describe the problem how I reproduced it the possible causes the solution I implemented the testing I completed and what I learned.,problem|causes|solution|testing|learned
Software Development,How do you make sure your code is reliable?,I use clear functions validation error handling version control code review and testing before deployment.,functions|validation|error handling|version control|review|testing
Software Development,What is an API?,An API is a set of rules that allows software systems to communicate by sending requests and receiving structured responses.,rules|software|communicate|requests|responses
Marketing,How would you plan a marketing campaign?,I define the objective target audience message channels budget timeline and success metrics then review the results and improve the campaign.,objective|audience|message|channels|budget|metrics
Marketing,How do you measure campaign success?,I select metrics connected to the objective such as reach engagement conversion rate customer acquisition cost and return on investment.,objective|reach|engagement|conversion|cost|return
Marketing,Tell me about a brand you admire.,I name the brand explain its target audience positioning message and customer experience then connect these strengths to measurable business results.,audience|positioning|message|experience|results
Finance,How do you ensure accuracy in financial work?,I check the source documents use a clear process reconcile totals review formulas keep records and ask for a second review when needed.,documents|process|reconcile|formulas|records|review
Finance,What is the difference between revenue and profit?,Revenue is the total income earned from sales while profit is the amount remaining after expenses are deducted.,income|sales|profit|expenses|deducted
Finance,How would you explain a financial result to a non-finance colleague?,I use simple language focus on the main number compare it with a target or previous period explain the cause and state the action needed.,simple|number|compare|cause|action
